Project,Symbol,Launch date,Category tags,Price ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),ATH ($),ATL ($),Volume 24h ($),Circulating market cap latest ($),Fully-diluted market cap latest ($),Volume / MC ratio (%),TVL latest ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. TVL ($),30d avg. TVL ($),90d avg. TVL ($),180d avg. TVL ($),Annualized GMV ($),7d total revenue ($),30d total revenue ($),90d total revenue ($),180d total revenue ($),7d change (%),30d change (%),90d change (%),180d change (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d protocol revenue ($),7d change (%),7d trend (%),24h protocol revenue ($),24h change (%),24h trend (%),30d protocol revenue ($),30d change (%),30d trend (%),90d protocol revenue ($),90d change (%),90d trend (%),180d protocol revenue ($),180d change (%),180d trend (%),P/S ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/S ratio (x),30d avg. P/S ratio (x),90d avg. P/S ratio (x),180d avg. P/S ratio (x),P/E ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/E ratio (x),30d avg. P/E ratio (x),90d avg. P/E ratio (x),180d avg. P/E ratio (x),Twitter followers latest
Notional Finance,,16/10/2020,DeFi Exchange,,,,,,,,,,,,,,,,,,429305081.3,-0.92,-6.79,-13.6,199.19,3320.53,,26.11,-23.38,1970.13,,459456604,423761258.5,581943070.8,304093390.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10722
OpenSea,,19/12/2017,DeFi NFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60955860303,74298655.7,432777273.3,974602559.2,1600902303,-31.02,-52.15,11.94,108.28,-33.35,43.62,57.65,1164.64,16977206.27,-15.58,-36.4,2151824.79,-26.82,-26.82,105041539,-45.24,26.73,255790932.7,-12.98,20.41,471605684.5,86.76,955.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimism,,26/03/2018,Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.74,149.61,458.92,,,,,,,98.74,,,,,,149.61,,,458.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osmosis,OSMO,01/06/2021,DeFi Exchange,8.35,-2.78,-3.48,-8.5,43.54,259.4,-2.78,13.85,37.34,37.54,,10.96,1.24,53345672.98,2467060335,8350000000,0.98,1260406429,-4.55,-3.31,2.2,87.51,753.91,,13.28,53.4,113.08,,1331995002,1273044867,912228501.8,671119903.2,37429998948,2122505.93,9100013.69,18316674.54,23078891.28,-10.03,-14.98,77.92,842.47,35.48,65.04,293.32,,0,,,0,,,0,,,0,,,0,,,7431.87,0.02,-6.61,-43.94,-63.58,0.02,11.85,-28.52,-70.7,,7909.63,8993.54,12059.99,26636.67,,,,,,,,,,,,,,,,
PancakeSwap,CAKE,14/09/2020,DeFi Exchange,7.88,2.04,-0.52,-27.83,-57.02,-63.16,2.04,8.83,-27.4,-44.46,-13.26,43.96,0.19,66390567.46,2110874734,,4.94,4811897709,-0.76,2.65,-5.3,-32.03,-11.81,,11.76,-15.09,-4.55,,4788483306,4557315841,5346760602,5494236120,2.33E+11,9952891.95,45567595.02,221668644.1,453875127.5,11.35,-27.31,-70.42,-31.66,20.31,-24.55,-1.31,,3184925.42,11.35,20.31,455537.25,-28.92,-28.92,14581630.41,-27.31,-24.55,70933966.1,-70.42,-1.31,145240040.8,-31.66,,363.13,1.56,3.53,-1.94,6.16,1.56,19.24,16.64,-53.47,,368.69,338.38,286.87,450.61,11.35,1.56,3.53,-1.94,6.16,-56.01,1.56,19.24,16.64,-53.47,,11.52,10.57,8.96,14.08,1472615
Pangolin,PNG,23/04/2020,DeFi Exchange,0.39,4.05,8.13,-37.19,-81.41,-71.27,4.05,14.15,-48.35,-47.78,,18.85,0.28,668889.63,33025699.52,210193910,0.32,202628583.7,-6.33,16.83,-27.24,-50.99,-4.65,,25.32,-42.9,5.1,21.86,195065718.7,188055693.9,309844290.8,303964743.4,10264585470,638271.45,2483294.73,13064153.51,31121009.76,45.73,29.87,-80.48,-23.84,55.39,-23.23,-24.01,263.1,106378.58,45.73,55.39,13666.85,-24.54,-24.54,413882.46,29.87,-23.23,2177358.92,-80.48,17.04,4167501.82,,,682.59,0.93,5.05,-18.91,-71,0.93,19.84,-4.52,-58.08,,742.1,654.22,847.99,1422.34,40.96,0.93,5.05,-18.91,-71,,0.93,19.84,-4.52,,,44.53,39.25,50.88,115.79,87865
Perpetual Protocol,PERP,06/09/2020,DeFi Exchange,6.11,1.3,-5.37,-32.74,-64.9,-58.65,1.3,3.34,-22.89,-40.76,54.52,24.4,0.67,4647853.32,390424492.4,916500000,1.7,29559932.77,0.92,-3.95,23.3,178.99,223.37,,-2.75,47.51,50.78,,29657022.66,28691407.02,20164790.19,16722759.15,26709209127,343322.76,2128565.27,7003207.03,15478422.01,34.3,-26.25,12.38,-76.18,3.63,2.71,-18.37,-26.82,343322.76,34.3,3.63,46778.1,-30.31,-30.31,2128565.27,-26.25,2.71,7003207.03,12.38,-18.37,15478422.01,-76.18,-26.82,3436.31,0.83,1.08,-34.7,-66.45,0.83,15.05,-18.09,-25.6,48.33,3594.94,3835.54,5128.2,6076.04,34.36,0.83,1.08,-34.7,-66.45,-44.85,0.83,15.05,-18.09,-25.6,48.33,35.95,38.36,51.28,60.76,37860
PieDAO,DOUGH,23/04/2020,Asset Management DeFi,0.26,-1.57,-7.08,-27.54,-65.32,-23.48,-1.57,8.88,-33.21,-16.71,-48.24,6.27,0.1,12914.82,4014150,25880100,0.09,8324827.85,-5.11,-3.82,-24.06,-50.82,-39.67,,12.72,-28.77,-11.67,-22.83,8850968.56,8593617.27,12014352.25,12860657.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15833
Pocket Network,POKT,01/07/2021,Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polkadot,DOT,20/08/2020,Blockchain,19.07,2.15,-10.92,-26.18,-57.56,-18.77,2.15,11.11,-21.25,-21.94,14.1,54.98,2.7,628851054.6,20659188842,,4.82,,,,,,,,,,,,,,,,76271579310,20443.43,95603.66,493491.6,1629562.34,-10.34,-35.89,-91.79,-37.05,22.91,-28.5,-52.82,184.09,16354.74,-10.34,22.91,1982.06,-24.75,-24.75,76482.93,-35.89,-28.5,394793.28,-91.79,-52.82,1303649.87,-37.05,184.09,1683302.56,0.42,-6.38,1.5,244.63,0.42,20.94,8.97,-40.66,-38.32,1818265.11,1551591.45,1150708.46,1523432.53,21041.28,0.42,-6.38,1.5,244.63,-53.3,0.42,20.94,8.97,-40.66,-38.32,22728.31,19394.89,14383.86,19042.91,1167200
Polygon,MATIC,26/04/2017,Blockchain Interoperability,1.71,2.38,-0.88,-24.93,0.56,26.06,2.38,15.21,-22.24,36.52,99.14,2.92,0,782385191.4,11718410039,17100000000,8.06,8298868408,,15.75,-20.95,1.13,707.47,,,,,,,,,,,410822.77,2543322.03,11575033.9,15558094.61,77.24,-32.3,-6.05,132.36,33.64,-55.64,195.81,1022.05,0,,,0,,,0,,,0,,,0,,,52768.18,-0.32,26.47,66.17,-32.71,-0.32,120.47,-38.36,-56.02,-99.15,57241.04,32271.09,49976.86,81782.52,,,,,,,,,,,,,,,,
Polymarket,,11/10/2020,DeFi Exchange Prediction Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68747997.5,13456.4,99060.77,304993.5,748511.97,209.59,5.82,-6.68,-7.91,-18.5,12.35,-30.27,-20.41,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19107
PoolTogether,POOL,15/04/2019,Asset Management DeFi Other,3.05,5.81,1.04,-21.37,-71.08,-80.75,5.81,0.99,-36.7,-55.59,-50.66,53.98,2.26,43857.21,9316686.38,30500000,0.12,64024589.41,-1.06,-2.87,-8.62,-47.36,-64.52,,0.25,-10.22,-44.39,,65237317.61,66093887.68,78854363.84,110606974.1,26509963.27,5099.03,27171.6,109863.89,505031.62,,,,-96.43,-6.87,-19.44,-68.63,,2549.52,,-6.87,396.52,,,13585.8,,-19.44,54931.94,,-68.63,252515.81,-96.43,,9071.52,4.71,12.38,1.38,38.09,4.71,13.23,-22.74,3.65,3.95,8300.85,7231.12,8191.75,8014.37,181.43,4.71,12.38,1.38,38.09,-15.7,4.71,13.23,-22.74,3.65,,166.02,144.62,163.84,160.29,37201
PowerPool,CVP,23/04/2020,Asset Management DeFi,1.12,-1.13,-4.09,-15.83,-35.12,-18.45,-1.13,8.59,-18.83,-24.21,-20.39,17.27,0.71,1237393.23,30858309.25,112000000,1.75,15331890.29,,-0.56,-10.76,-27.82,-26.98,,-0.03,-12.18,-20.64,,15400456.84,15817658.03,17328027.07,19622677.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30232
QuickSwap,QUICK,05/10/2020,DeFi Exchange,193.84,2.27,-0.97,-26.38,-49.14,-69.6,2.27,11.76,-25.57,-42.45,-18.3,1590.57,31.76,4179214.71,70048645.71,193840000,1.16,737588142.8,-2.95,7.48,-9.7,-0.85,-28.74,,9.39,-10.29,-6.48,24.02,727691190.3,707248685.5,739248952.6,763418697.5,28341830958,1695338.58,6769376.38,24993192.06,48016948.81,66.93,-3.33,-4.13,-38.96,71.24,-17.29,8.9,-30.26,226045.14,66.93,71.24,26859.59,-21.18,-21.18,902583.52,-3.33,-17.29,3332425.61,-4.13,8.9,6402259.84,-38.96,-30.26,227.98,0.29,-2.86,-11.35,-39.8,0.29,19.15,-5.56,-48.24,-66.58,247.2,227.17,254.16,373.36,17.1,0.29,-2.86,-11.35,-39.8,-62.2,0.29,19.15,-5.56,-48.24,-66.58,18.54,17.04,19.06,28,68489
Rarible,RARI,19/09/2020,DeFi NFT,8.72,-3.68,-8.82,-31.79,-57.52,-61.22,-3.68,9.96,-27.47,-33.95,-0.85,46.7,0.26,626991.51,52693351.31,218000000,0.45,,,,,,,,,,,,,,,,0,,,,,-50.25,-80.63,-92.5,-56.29,,,,,,-50.25,,,,,,-80.63,,,-92.5,,,-56.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402453
Rari Capital,RGT,21/04/2020,Asset Management DeFi,19.52,0.04,-10.17,-39.41,-50.57,83.4,0.04,1.91,-5.9,-3.83,126.48,64.62,0.21,703988.05,219658409.4,243964337,0.66,759697879.6,2.22,12.5,-19.68,-36.81,451.94,,6.93,-26.82,69.17,1062.47,701101730.5,712781901.7,952390709.2,763372658.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48426
Reflexer,FLX,26/10/2020,DeFi Lending Stablecoin,158.36,-1.05,-24.58,-51.33,-58.67,-42.64,-1.05,-0.04,-59.53,11.81,,1839.79,110.57,99363.96,27576631.67,158360000,0.23,161719012,-5,-1.25,-11.25,-48.8,-5.39,,19.87,-18.48,-6.5,,168320210.9,158672281.7,193075494.3,201369821.2,73296806.69,1203.46,11405.73,80462.59,164637.54,3.92,-81.93,-85.09,-74.06,12.79,-63.45,-2.1,-72.4,1203.46,3.92,12.79,204.88,0.72,0.72,4363.93,,,4363.93,,,4363.93,,,98386.3,0.65,5.93,26.19,8.07,0.65,41.69,-44.28,-13.47,,98485.25,68391.16,91352.32,98107.73,3082.03,0.65,-45.38,,,,0.65,-35.69,,,,4121.23,12706.02,12706.02,12706.02,17526
Ren,REN,27/05/2020,DeFi Interoperability,0.36,1.91,1.78,-22.86,-60.18,-38.85,1.91,12.39,-33.45,-37.71,0.95,1.8,0.02,21147567.71,361301412.1,361499000,9.27,1337046849,-3.15,2.1,26.86,-19.18,72.21,,8.37,4.88,-1.76,82.78,1360104315,1201838725,1234952932,1253342943,8192589642,67010.31,1016757.9,2086855.52,5072575.6,6.49,-67.94,-21.26,-46.86,-30.84,221.85,-29.46,-4.9,0,,,0,,,0,,,0,,,0,,,2941.68,2.02,0.03,-75.29,-67.21,2.02,9.47,-39.79,-4.68,24.82,3062.17,4981.36,7582.69,7779.67,,,,,,,,,,,,,,,,113976
Ribbon Finance,RBN,26/01/2021,Asset Management DeFi,2.17,2.56,23.51,-27.16,16.66,,2.56,5.63,-11.57,,,5.54,1.31,1939044.81,111205266,2170000000,0.44,200666331.7,-5.65,18.81,-26.19,-0.16,96.16,,7.11,-18.26,74.51,,184093488.3,214444837.1,228929353.8,180246261.5,172247397.1,873531.68,3153869.86,11564587.03,19361083.91,,-100,-100,,21.18,2.22,48.33,277.53,114728.31,,4.44,0,-100,-100,412853.79,-100,47.25,1382200.46,-100,415.69,1650232.7,,,4696,11.1,20.01,-14.3,-16.53,11.1,4.5,11.1,,,4712.59,5174.26,4688.68,5714.05,336.1,11.1,19.25,-32.43,-45.37,,11.1,1.52,-27.58,,,333.36,385.79,420.7,9768.65,
Saddle Finance,,21/04/2020,DeFi Exchange,,,,,,,,,,,,,,,,,,249258164.7,-2.41,2.89,52.66,44.75,10.17,,10,25.05,16.72,,253039583.6,214034655.8,190780249.6,176647043.8,2688708212,8965.96,89544.28,181441.14,306947.45,124.18,36.69,106.29,198.53,-9.25,127.38,45.33,69.09,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12435
Set Protocol,,01/10/2017,Asset Management DeFi,,,,,,,,,,,,,,,,,,252901849.7,-11.99,-4.41,-25.89,-57.59,-29.27,,17.33,-33,-7.24,,274875136.3,266887092.8,388343656.6,406168061.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41676
Solana,SOL,19/03/2020,Blockchain,96.22,2.63,-15.84,-34.5,-59.7,49.63,2.63,8.87,-33.41,2.52,434.55,259.96,0.5,1152018253,30570348771,48897172260,3.55,,,,,,,,,,,,,,,,,31969.63,2942427.73,15691543.31,29317528.85,-74.04,-80.44,-87.95,24.07,-40.66,-39.98,25.09,1248.88,15984.82,-74.04,-40.66,15984.82,,,1471213.86,-80.44,-39.98,7845771.65,-87.95,25.09,14658764.43,24.07,1248.88,125647.21,-0.25,6.34,26.89,-17.07,-0.25,26.94,-8.9,-54.61,-56.5,128582.35,100619.67,109565.21,174685.62,2512.94,-0.25,6.34,26.89,-17.07,-72.25,-0.25,26.94,-8.9,-54.61,-56.5,2571.65,2012.39,2191.3,3493.71,
SpookySwap,BOO,01/04/2021,DeFi Exchange,19.59,-1.75,-20.19,-37.38,-26.29,239.67,-1.75,-3.67,41.75,8.84,,39.97,0.32,4253026.45,161119288.5,267716940,1.3,1258986300,-6.04,-6.28,-15.47,78.66,1410.39,,9.04,39.88,157.47,,1369859612,1324903813,996208048.4,692698088.1,2.35E+11,18425695.34,38237334.77,67787058.78,88882283.63,-57.25,-18.78,81.49,990.68,370.07,138.82,226.81,2049.7,2763854.3,-57.25,370.07,84433.39,-14.59,-14.59,5735600.22,-18.78,138.82,10168058.82,81.49,226.81,13332342.54,990.68,2049.7,56.97,-8.3,-47.07,-73.31,-80.36,-8.3,-27.39,-22.53,-74.24,,76.42,130.59,159.89,388.58,3.8,-8.3,-47.07,-73.31,-80.36,-95.74,-8.3,-27.39,-22.53,-74.24,,5.09,8.71,10.66,25.91,
Stake DAO,SDT,23/04/2020,Asset Management DeFi,1.51,0.56,-24.63,-29.23,-40.5,11.7,0.56,-4.05,5.15,-20.73,-48.56,17.38,0.78,96346.01,38334765.61,151000000,0.3,393654580.6,-2.13,1.85,-6.58,63.08,208.29,,6.42,12.42,111.29,,396454451.7,386960407.2,325930629.9,240025037.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22929
Stellar,XLM,10/04/2014,Blockchain,0.22,2.35,2.36,-19.04,-42.09,-35.62,2.35,15.08,-18.49,-21.88,-22.7,0.88,0,207139210,5460379766,10966195253,2.53,,,,,,,,,,,,,,,,33077069232,536.65,1760.07,168556.1,215132.01,-12.49,-28.09,-94.09,-65.93,68.57,-96.75,271.26,1744.1,0,,,0,,,0,,,0,,,0,,,47807782.12,1.42,0.76,2268.51,964.9,1.42,9.22,3364.87,-66.44,-78,49906571.08,31698058.69,11522970.21,22212108.17,,,,,,,,,,,,,,,,737556
SushiSwap,SUSHI,09/09/2020,DeFi Exchange,4.17,1.82,-11.38,-41.06,-59.98,-66.73,1.82,9.99,-32.03,-42.8,-27.97,23.38,0.48,98930219.42,803810432.1,1042500000,14.58,4540815901,-5.59,-2.47,-15.57,-25.18,0.51,,-1.14,-4.89,-0.74,35.43,4740157598,4940160067,5280887319,5313778986,1.15E+11,3691795.33,27529001.16,104305469.6,232362315.6,2.3,-48.75,-64.1,-69.72,-11.93,-18.56,-17.7,-4.25,615299.22,2.3,-11.93,76808.25,-36.16,-36.16,4588166.86,-48.75,-18.56,17384244.93,-64.1,-17.7,38727052.59,-69.72,-4.25,301.39,1.97,1.36,-28.1,-35.84,1.97,30.59,-30.43,-44.33,-32.65,317.35,292.41,349.17,487.41,18.08,1.97,1.36,-28.1,-35.84,-68.8,1.97,30.59,-30.43,-44.33,-32.65,19.04,17.54,20.95,29.24,198093
Synthetix,SNX,07/12/2018,DeFi Exchange Other,4.85,0.42,-16.33,-4.76,-49.54,-56.87,0.42,3.39,-10.23,-44.91,-42.25,28.53,0.03,35645878.66,978448837.1,1176217509,4.2,1046394978,-6.81,-10.99,-14.33,-48.87,-47.38,,9.29,-19.78,-30.89,-10.46,1150711276,1091307146,1374475524,1689055153,5333930080,273509.7,1289008.62,3291153.2,7528866.08,141.62,80.88,169.26,-42.41,-24.22,127.93,-22.84,-65.24,273509.7,141.62,-24.22,31190.56,-46.56,-46.56,1289008.62,80.88,127.93,3291153.2,169.26,-22.84,7528866.08,-42.41,-65.24,7486.74,-0.7,-26.27,-57.81,-52.93,-0.7,-8.45,-0.17,-13.29,18.99,8798.4,11987.22,11553.14,12531.41,74.87,-0.7,-26.27,-57.81,-52.93,44.13,-0.7,-8.45,-0.17,-13.29,18.99,87.98,119.87,115.53,125.31,187849
Terra,LUNA,23/04/2019,Blockchain,53.47,5.18,-3.63,-31.68,10.62,112.49,5.18,9.7,-22.37,73.7,358.45,103.34,0.12,892710505.1,21259196066,53470000000,2.45,,,,,,,,,,,,,,,,1.77E+11,0,65483.11,1011791.13,2898155.13,,-100,-100,-100,,-82.64,-44.88,-21.74,0,,,0,,,0,,,0,,,0,,,4951826.88,6.04,92.51,256.48,539.26,6.04,105.03,40.56,185.46,566.27,3751541.97,2029679.78,1432269.59,965769.04,,,,,,,,,,,,,,,,331731
Tezos,XTZ,16/09/2018,Blockchain,4.04,-2.9,2.37,-2.55,-29.65,18.61,-2.9,16.15,-16.57,-27.81,27.48,9.12,0.35,137487947.2,3541565236,,8.6,,,,,,,,,,,,,,,,15986443247,21318.41,96651.14,436105.59,1061654.45,1.92,-50.05,-44.05,50.64,4.02,-41.3,-29.28,255.97,0,,,0,,,0,,,0,,,0,,,286682.24,-4.83,4.12,65.43,13.03,-4.83,25.52,38.55,-22.08,-74.7,295866.89,231575.87,202476,230392.24,,,,,,,,,,,,,,,,334600
The Graph,GRT,22/04/2018,DeFi Other,0.42,0.96,-7.27,-27.49,-59.46,-52,0.96,12.36,-28.2,-25.1,-36,2.84,0.1,47675734.51,2565197152,4166000000,1.86,,,,,,,,,,,,,,,,,69.27,604.45,12720.11,39418.94,,-100,,-100,-52.26,-61.47,-52.46,-76.9,40.35,,-63.14,0,-100,-100,247.24,-100,-10.49,3081.93,,410.98,3684.48,-100,16.92,23527629.97,-0.41,-9.82,130.13,148.85,-0.41,7.06,108.91,48.63,51.31,26715978.34,18554021.34,12017599.87,10045217.42,310468.59,-0.41,-10.6,37.67,-96.51,-94.26,-0.41,2.19,-46.76,-62.21,-33.74,354921.91,282636.03,1960469.54,3704894.81,
Thorchain,RUNE,22/04/2018,Interoperability,4.07,0.57,-12.89,-35.66,-66.59,-51.39,0.57,15.51,-32.01,-28.43,-3.38,20.87,0.01,31281396.03,1225730819,2035000000,2.92,167364813.9,-5.87,-4.59,-11.96,-52.67,64.49,,10.27,-10.86,19.91,-34.29,178395608.4,168861633,213047078.3,197321474.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140769
Tokenlon,LON,22/12/2020,DeFi Exchange,1.15,13.72,13.5,-13.4,-43.28,-51.25,13.72,0.54,-27.5,-34.47,-59.71,9.81,0.97,3770556.55,29201731.55,230000000,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10936
Trader Joe,JOE,29/06/2021,DeFi Exchange,1.27,6.89,-11.92,-15.55,-54.9,3370.25,6.89,-0.21,-37.39,-10.05,,5.09,0.03,10779427.64,213239330,635000000,2.76,1468236333,-0.38,6.95,-17.02,-27.79,6967.65,,18.43,-34.84,54.67,,1429612433,1281176559,1833595745,1519708623,96475264480,4658802.45,23477408.31,100101971.5,158343583,27.6,9.71,-54.02,5392.5,9.06,-13.66,78.21,188278.07,776467.07,27.6,9.06,102270.13,-26.94,-26.94,3912901.39,9.71,-13.66,16683661.92,-54.02,78.21,26390597.16,5392.5,188278.07,219.4,1.87,-12.31,-2.4,-48.43,1.87,4.61,-4.01,-77.27,,238.31,210.48,245.71,649.61,13.16,1.87,-12.31,-2.4,-48.43,-94.62,1.87,4.61,-4.01,-77.27,,14.3,12.63,14.74,38.98,
UMA,UMA,11/04/2020,DeFi Other,6.24,6.06,-2.58,-24.98,-69.62,-45.07,6.06,8.62,-28.66,-16.04,-39.25,41.56,0.3,22106051.74,407984886.7,662666777.8,1.58,110426576,-3.68,0.32,-0.8,95.7,8.34,,5.9,11.5,4.71,-32.54,112564883.1,107074553.6,86197438.62,83834789.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54094
Uniswap,UNI,02/11/2018,DeFi Exchange,10.7,0.09,-5.07,-31.07,-55.58,-59.39,0.09,6.23,-24.74,-36.07,-23.02,44.92,1.03,97543235.05,4882731384,10700000000,1.5,7609793949,,4.16,-5.28,-27.27,61.22,,12.52,-15.52,60.23,24.91,7607784879,7152472388,8487574435,6922332283,7.94E+11,19660501.9,102335956.8,420850708.3,863121950.7,5.63,-32.67,-58.56,-47.35,19.76,-18.4,-3.23,18.91,0,,,0,,,0,,,0,,,0,,,824.11,0.57,2.56,-16.56,-17.47,0.57,17.2,-4.52,-52.66,-37.22,874.11,831.86,825.16,1279.77,,,,,,,,,,,,,,,,840613
Unit Protocol,DUCK,21/04/2019,DeFi Lending Stablecoin,0.01,3.09,4.22,-26.78,-70.18,-89.64,3.09,10.13,-37.31,-77.94,-77.56,0.66,0.01,79056.78,3285449.53,8379488.18,0.76,6624169.59,-6.1,-10.45,-63.19,-92.51,-97.79,,-0.74,-38.56,-92.71,-47.88,7213310.77,8973860.95,19621968.66,149199362.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7036
Venus,XVS,14/09/2020,DeFi Lending Stablecoin,8.84,-0.23,1.94,-36.3,-63.72,-73.99,-0.23,16.97,-35.56,-48.12,-53.88,146.82,1.65,4621456.86,105120055.7,265200000,2.78,1622025918,-6.26,-1.44,-19.27,-40.13,-33.96,,14.05,-15.37,-20.02,,1681144746,1676902655,1968228328,2222518900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000
Vesper Finance,VSP,22/04/2020,Asset Management DeFi,2.6,-2.77,-15.5,-51.6,-60.11,-64.96,-2.77,-8.83,-6.46,-48.41,-75.69,79.51,2.46,59285.93,22102878.36,26000000,0.75,65506148.48,-6.45,-11.23,-55.76,-79.19,-86.36,,1.83,-39.17,-54.38,-67.79,72299794.58,93979987.15,158340499.8,254224201.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20020
Volmex,,01/01/2021,DeFi Other,,,,,,,,,,,,,,,,,,1654390.98,-0.03,1.31,6.4,37.03,58.46,,2.35,10.14,35.63,,1648724.68,1588904.8,1447546.23,1256275.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WakaSwap,WAKA,01/05/2021,DeFi Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12818987.4,375.37,2777.5,20269.25,145652.93,139.79,-61.62,-44.19,-93.95,10.91,-63.96,-83.87,-78.08,125.12,139.79,10.91,27.45,100.5,100.5,925.83,-61.62,-63.96,6756.42,-44.19,-83.87,48550.98,-93.95,-78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yearn.finance,YFI,17/07/2020,Asset Management DeFi,23313,1.78,-7.69,-26.03,-30.61,-38.21,1.78,3.62,-17.33,-16.75,-19.6,90787,31.65,78575274.15,832024893.4,854794458,12.83,4183380707,0.2,0.01,-28.61,-33.53,-0.48,,2.39,-22.89,1.94,66.44,4200427631,4293744470,5270651939,5237585912,2660982434,2669006.71,12003401.95,48112561.43,119175177.1,-50.86,-81.73,-80.17,-76.72,10.84,-27.31,-30.98,21.09,1024056.74,-46.95,16.42,75538.84,-72.65,-72.65,4956738.17,-80.6,-31.57,20964308.05,-76.88,-17.74,46909212.92,-71.48,33.79,552.6,0.9,-6.81,5.28,52.8,0.9,11.11,-3.8,1.86,-72.4,587.43,523.84,476.74,470.53,13.49,0.9,-1.88,12.74,32.68,-14.46,0.9,14.3,0.9,-12.71,-78.26,14.02,12.19,11.12,11.9,182533
Yield Guild Games,YGG,28/06/2021,Asset Management DeFi Gaming,3.13,-1.25,-17.8,-32.02,-53.68,-50.08,-1.25,13.71,-33.38,-22.76,,11.17,0.96,18990900.12,275513164.4,3130000000,0.96,,,,,,,,,,,,,,,,,,,,,116.19,-42.25,-56.99,-81.26,,-25.54,-62.4,,,116.19,,,,,,-42.25,-25.54,,-56.99,-62.4,,-81.26,,100948.08,-2.6,-8.78,22.84,115.85,-2.6,54.88,5.26,114.67,,112820.5,77571.33,68205.35,49997.73,3364.94,-2.6,-8.78,22.84,115.85,494.31,-2.6,54.88,5.26,114.67,,3760.68,2585.71,2273.51,1666.59,
Yield Yak,YAK,01/02/2021,Asset Management DeFi,2379.13,-0.33,-13.7,-7.98,-46.3,52.1,-0.33,32.51,-26.86,-60.11,,16319.34,1068.23,146749.5,20390343.05,23791300,0.35,343002367.1,,10.98,-20.1,-23.81,,,8.55,-34.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
