Project,Symbol,Launch date,Category tags,Price ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),ATH ($),ATL ($),Volume 24h ($),Circulating market cap latest ($),Fully-diluted market cap latest ($),Volume / MC ratio (%),TVL latest ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. TVL ($),30d avg. TVL ($),90d avg. TVL ($),180d avg. TVL ($),Annualized GMV ($),7d total revenue ($),30d total revenue ($),90d total revenue ($),180d total revenue ($),7d change (%),30d change (%),90d change (%),180d change (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d protocol revenue ($),7d change (%),7d trend (%),24h protocol revenue ($),24h change (%),24h trend (%),30d protocol revenue ($),30d change (%),30d trend (%),90d protocol revenue ($),90d change (%),90d trend (%),180d protocol revenue ($),180d change (%),180d trend (%),P/S ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/S ratio (x),30d avg. P/S ratio (x),90d avg. P/S ratio (x),180d avg. P/S ratio (x),P/E ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/E ratio (x),30d avg. P/E ratio (x),90d avg. P/E ratio (x),180d avg. P/E ratio (x),Twitter followers latest
Centrifuge,CFG,20/05/2020,DeFi Lending,0.55,-0.09,-13.73,-37.79,-67.19,-57.61,-0.09,-2.32,-26.98,-33.78,,2.55,0.54,647577.83,97387076.75,234464854.9,0.68,56374325.41,,5.17,19.7,66.73,114.55,,,,42.55,145.67,,,,,63914523.22,97055.6,449620.29,1110641.24,1807625.62,0.1,13.41,80.74,145.48,1.95,30.52,61.18,196.52,0,,,0,,,0,,,0,,,0,,,4167.57,-1.67,-16.98,-51.82,-81.75,-1.67,-7.3,-42.42,-52.91,,4656.83,5910.13,11311.83,17808.5,,,,,,,,,,,,,,,,54257
Clipper,,19/07/2021,DeFi Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633344426.1,15618.7,105213.29,271852.84,565359.35,-76.61,-66.19,-79.37,-91.87,-0.36,47.51,-7.59,10.21,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,COMP,27/09/2018,DeFi Lending,128.24,2.96,-6.08,-31.66,-61.58,-71.32,2.96,12.43,-30,-44.73,-37.33,910.54,61.32,28046807.22,841180138.8,1282400000,4.34,6998758034,-3.08,-5.18,-12.58,-44.76,-33.38,,9.81,-22.97,-16.59,32.39,7310737548,7173828778,9381011036,10353049740,4598706795,2404435.8,13713804.21,62461135.73,158344986.8,4.5,-36.16,-59.19,-51.87,-3.21,-36.09,-33.69,-11.02,288749.22,7.5,-3.01,50413.51,-6.11,-6.11,1632379.67,-31.56,-35.63,7361415.26,-55.63,-28.46,17820730.34,-50.81,-14.08,726.27,1.98,3.31,5.41,-6.25,1.98,26.49,-4.8,-35.37,-37.27,765.61,639.94,669.82,850.01,61.23,1.98,2.47,4.67,-16.03,-55.95,1.98,25.67,-3.51,-37.45,-34.12,64.81,54.57,57.79,74.95,218444
Cosmos,ATOM,13/03/2019,Blockchain Interoperability,27.17,-1.67,-12.05,-27.95,-13.94,69.55,-1.67,5.19,6.48,-4.03,82.15,44.45,1.16,475607513,7827091747,,7.27,,,,,,,,,,,,,,,,,24365.81,129195.21,294960.04,653823.17,-24.11,-29.34,36.48,212.96,9.31,45.11,-16.82,416.12,487.32,-24.11,9.31,65.83,-12.28,-12.28,2583.9,-29.34,45.11,5899.2,36.48,-16.82,13076.46,212.96,416.12,462981.11,2.32,-10.05,-51.56,-35.67,2.32,8.21,-44.72,-4.12,-53.11,505449.63,588039.41,816145.15,826892.6,231490.56,2.32,-10.05,-51.56,-35.67,-75.01,2.32,8.21,-44.72,-4.12,-53.11,252724.81,294019.7,408072.58,413446.3,
Cryptex,CTX,08/04/2021,Asset Management DeFi,6.91,-2.65,-10.28,-30.7,-59.67,7.15,-2.65,-4.2,-34.38,-46.54,,44.13,2.33,241684.52,19831172.64,69100000,0.53,,,,,,,,,,,,,,,,1368411537,6.28,5983.12,22477.33,42561.08,,,,,,63.99,13.18,-93.42,6.28,,,0,,,5983.12,,63.99,22477.33,,13.18,42561.08,,-93.42,98088.67,-2.53,-0.09,-56.31,-37.16,-2.53,5.2,-20.08,-73.59,,106897.44,194578.84,180027.58,426700.86,980.89,-2.53,-0.09,-56.31,-37.16,-90.75,-2.53,5.2,-20.08,-73.59,,1068.97,1945.79,1800.28,4267.01,
Curve,CRV,21/01/2020,DeFi Exchange,2.88,0.69,-16.02,-42.51,-27.16,50.35,0.69,3.64,-27.43,45.34,54.33,54.01,0.33,154646801.3,1129484930,9512727261,2.43,19673822646,-0.81,2.7,-16.06,-6.86,78.52,,10.45,-11.58,37.72,145.04,19615565079,19994740657,21242722278,18373225358,2.29E+11,1377671.33,21849349.79,52744334.7,73740384.93,-31.23,-64.59,-72.97,-23,-31.29,41.75,155.86,141.08,693116.51,-31.48,-31.16,49696.14,-48.02,-48.02,10946212.52,-64.55,41.78,26428595.73,-73,154.12,37019875.76,-23.62,139.13,3554.72,-0.31,-13.89,-59.86,-69.86,-0.31,6.59,-35.57,-45.58,,4035.53,5175.33,7568.84,10780.67,70.95,-0.31,-13.91,-59.87,-69.74,-76.49,-0.31,6.57,-35.53,-45.18,,80.56,103.34,150.96,213.98,267669
Decred,DCR,08/02/2016,Blockchain,65.42,1.71,-3.72,12.46,-42.39,-60.25,1.71,7.74,-7.13,-42.43,-32.46,247.35,0.43,3328447.92,900548510.4,,0.49,,,,,,,,,,,,,,,,4597769066,894.62,3761.41,15580.47,45233.06,-3.17,-34.85,-55.02,-69.69,13.11,-7.91,-46.71,-22.44,0,,,0,,,0,,,0,,,0,,,1859519.17,0.91,-7.99,24.12,12.96,0.91,7.16,30.24,7.32,-17.28,1971331.07,1809781.43,1528431.27,1475525.79,,,,,,,,,,,,,,,,51347
dForce,DF,01/01/2019,DeFi Lending,0.1,0.31,-6.16,-11.9,-43.76,-44.26,0.31,7.52,-8.12,-36.8,-37.77,1.5,0.07,2622146.36,40664475.6,104150024.5,3.36,492884531,-1.24,-0.12,140.36,98.52,339.83,,2.64,82.33,13.81,274.39,496377163.1,348860171.8,252523425.4,237852442,,24865.85,116262.46,767284.11,2127444.1,-14.89,-37.33,-78.45,-62.74,4.81,-45.61,-41.98,345.2,3113.66,-15.49,-0.41,396.11,NaN,NaN,15554.53,-44.95,-48.81,105343.4,-80.21,-57.97,362200.92,-81.83,168.15,7040.63,0.55,-0.41,64,146.99,0.55,15,100.91,-33.98,,7270.02,5936.1,3843.3,4759.05,522.99,0.55,3.6,73.76,195.67,46.12,0.55,19.03,99.68,19.35,,533.14,421.05,272.56,248.88,
dHedge,DHT,17/06/2020,Asset Management DeFi,0.49,-3.04,-8.94,-29.19,-46.44,-50.39,-3.04,-1.74,-18.04,-28.86,-61,5.52,0.36,32329.82,11803739.58,49420800,0.26,18335473.29,0.75,4.92,-2.09,-27.5,-35.01,,9.25,-14.18,-23.85,-19.22,18040262.17,17475307.33,19854136.06,23004540.02,,1041.58,2437.63,48945.11,209426.02,-99.85,,-99.84,-99.98,23.04,-79.43,-65.23,-88.46,1041.58,-99.85,23.04,0.3,,,2437.63,,-79.43,48945.11,-99.84,-65.23,209426.02,-99.98,-88.46,171919.03,-3.44,-37.14,258.58,2078.06,-3.44,-39.24,518.65,188.48,15.01,199658.04,205003.64,81464.7,54362.91,1719.19,-3.44,-37.14,258.58,2078.06,296.72,-3.44,-39.24,518.65,188.48,15.01,1996.58,2050.04,814.65,543.63,18153
DODO,DODO,29/09/2020,DeFi Exchange,0.52,2.36,-2.55,-32.53,-68.29,-71.56,2.36,11.11,-31.91,-44.46,-51.77,8.38,0.15,18638230.99,146348481.5,521820000,8.7,358593843.3,,54.77,50.49,13.26,34.65,,11.91,3.66,-8.75,91.91,,,,,,100640.4,463396.98,1779048.05,4452866.51,-37.52,-36.31,-71.97,-63.89,107.94,-30.23,-32.21,-36.39,0,,,0,,,0,,,0,,,0,,,9048.35,0.3,18.87,-4.19,-29.31,0.3,59.15,-31.92,-44.93,-27.24,10159.23,7726.28,10509.49,14761.93,,,,,,,,,,,,,,,,136319
